"censusdate","abundance","scientificname"
1987-10-24,13,"Neotoma albigula"
1987-10-24,6,"Onychomys leucogaster"
1987-10-24,5,"Onychomys torridus"
1987-10-24,0,"Chaetodipus baileyi"
1987-10-24,10,"Peromyscus eremicus"
1987-10-24,1,"Perognathus flavus"
1987-10-24,0,"Chaetodipus hispidus"
1987-10-24,0,"Chaetodipus intermedius"
1987-10-24,0,"Peromyscus leucopus"
1987-10-24,4,"Peromyscus maniculatus"
1987-10-24,1,"Chaetodipus penicillatus"
1987-10-24,0,"Reithrodontomys fulvescens"
1987-10-24,5,"Reithrodontomys megalotis"
1987-10-24,0,"Reithrodontomys montanus"
1987-10-24,0,"Sigmodon fulviventer"
1987-10-24,2,"Sigmodon hispidus"
1987-10-24,0,"Sigmodon ochrognathus"
1987-11-21,0,"Baiomys taylori"
1987-11-21,46,"Dipodomys merriami"
1987-11-21,16,"Dipodomys ordii"
1987-11-21,5,"Dipodomys spectabilis"
1987-11-21,9,"Neotoma albigula"
1987-11-21,11,"Onychomys leucogaster"
1987-11-21,2,"Onychomys torridus"
1987-11-21,0,"Chaetodipus baileyi"
1987-11-21,18,"Peromyscus eremicus"
1987-11-21,1,"Perognathus flavus"
1987-11-21,0,"Chaetodipus hispidus"
1987-11-21,0,"Chaetodipus intermedius"
1987-11-21,0,"Peromyscus leucopus"
1987-11-21,5,"Peromyscus maniculatus"
1987-11-21,0,"Chaetodipus penicillatus"
1987-11-21,0,"Reithrodontomys fulvescens"
1987-11-21,11,"Reithrodontomys megalotis"
1987-11-21,0,"Reithrodontomys montanus"
1987-11-21,0,"Sigmodon fulviventer"
1987-11-21,0,"Sigmodon hispidus"
1987-11-21,0,"Sigmodon ochrognathus"
1988-01-23,0,"Baiomys taylori"
1988-01-23,22,"Dipodomys merriami"
1988-01-23,10,"Dipodomys ordii"
1988-01-23,3,"Dipodomys spectabilis"
1988-01-23,3,"Neotoma albigula"
1988-01-23,2,"Onychomys leucogaster"
1988-01-23,1,"Onychomys torridus"
1988-01-23,0,"Chaetodipus baileyi"
1988-01-23,8,"Peromyscus eremicus"
1988-01-23,0,"Perognathus flavus"
1988-01-23,0,"Chaetodipus hispidus"
1988-01-23,0,"Chaetodipus intermedius"
1988-01-23,0,"Peromyscus leucopus"
1988-01-23,1,"Peromyscus maniculatus"
1988-01-23,0,"Chaetodipus penicillatus"
1988-01-23,0,"Reithrodontomys fulvescens"
1988-01-23,7,"Reithrodontomys megalotis"
1988-01-23,0,"Reithrodontomys montanus"
1988-01-23,0,"Sigmodon fulviventer"
1988-01-23,1,"Sigmodon hispidus"
1988-01-23,0,"Sigmodon ochrognathus"
1988-02-21,0,"Baiomys taylori"
1988-02-21,28,"Dipodomys merriami"
1988-02-21,11,"Dipodomys ordii"
1988-02-21,3,"Dipodomys spectabilis"
1988-02-21,3,"Neotoma albigula"
1988-02-21,3,"Onychomys leucogaster"
1988-02-21,3,"Onychomys torridus"
1988-02-21,0,"Chaetodipus baileyi"
1988-02-21,4,"Peromyscus eremicus"
1988-02-21,0,"Perognathus flavus"
1988-02-21,0,"Chaetodipus hispidus"
1988-02-21,0,"Chaetodipus intermedius"
1988-02-21,0,"Peromyscus leucopus"
1988-02-21,0,"Peromyscus maniculatus"
1988-02-21,0,"Chaetodipus penicillatus"
1988-02-21,0,"Reithrodontomys fulvescens"
1988-02-21,4,"Reithrodontomys megalotis"
1988-02-21,0,"Reithrodontomys montanus"
1988-02-21,0,"Sigmodon fulviventer"
1988-02-21,1,"Sigmodon hispidus"
1988-02-21,0,"Sigmodon ochrognathus"
1988-03-20,0,"Baiomys taylori"
1988-03-20,33,"Dipodomys merriami"
1988-03-20,13,"Dipodomys ordii"
1988-03-20,3,"Dipodomys spectabilis"
1988-03-20,3,"Neotoma albigula"
1988-03-20,3,"Onychomys leucogaster"
1988-03-20,1,"Onychomys torridus"
1988-03-20,0,"Chaetodipus baileyi"
1988-03-20,2,"Peromyscus eremicus"
1988-03-20,0,"Perognathus flavus"
1988-03-20,0,"Chaetodipus hispidus"
1988-03-20,0,"Chaetodipus intermedius"
1988-03-20,0,"Peromyscus leucopus"
1988-03-20,0,"Peromyscus maniculatus"
1988-03-20,1,"Chaetodipus penicillatus"
1988-03-20,0,"Reithrodontomys fulvescens"
1988-03-20,6,"Reithrodontomys megalotis"
1988-03-20,0,"Reithrodontomys montanus"
1988-03-20,0,"Sigmodon fulviventer"
1988-03-20,0,"Sigmodon hispidus"
1988-03-20,0,"Sigmodon ochrognathus"
1988-04-17,0,"Baiomys taylori"
1988-04-17,17,"Dipodomys merriami"
1988-04-17,10,"Dipodomys ordii"
1988-04-17,6,"Dipodomys spectabilis"
1988-04-17,4,"Neotoma albigula"
1988-04-17,5,"Onychomys leucogaster"
1988-04-17,4,"Onychomys torridus"
1988-04-17,0,"Chaetodipus baileyi"
1988-04-17,2,"Peromyscus eremicus"
1988-04-17,1,"Perognathus flavus"
1988-04-17,0,"Chaetodipus hispidus"
1988-04-17,0,"Chaetodipus intermedius"
1988-04-17,0,"Peromyscus leucopus"
1988-04-17,0,"Peromyscus maniculatus"
1988-04-17,1,"Chaetodipus penicillatus"
1988-04-17,0,"Reithrodontomys fulvescens"
1988-04-17,1,"Reithrodontomys megalotis"
1988-04-17,0,"Reithrodontomys montanus"
1988-04-17,0,"Sigmodon fulviventer"
1988-04-17,1,"Sigmodon hispidus"
1988-04-17,0,"Sigmodon ochrognathus"
1988-05-14,0,"Baiomys taylori"
1988-05-14,19,"Dipodomys merriami"
1988-05-14,11,"Dipodomys ordii"
1988-05-14,4,"Dipodomys spectabilis"
1988-05-14,3,"Neotoma albigula"
1988-05-14,0,"Onychomys leucogaster"
1988-05-14,2,"Onychomys torridus"
1988-05-14,0,"Chaetodipus baileyi"
1988-05-14,3,"Peromyscus eremicus"
1988-05-14,0,"Perognathus flavus"
1988-05-14,0,"Chaetodipus hispidus"
1988-05-14,0,"Chaetodipus intermedius"
1988-05-14,0,"Peromyscus leucopus"
1988-05-14,0,"Peromyscus maniculatus"
1988-05-14,1,"Chaetodipus penicillatus"
1988-05-14,0,"Reithrodontomys fulvescens"
1988-05-14,0,"Reithrodontomys megalotis"
1988-05-14,0,"Reithrodontomys montanus"
1988-05-14,0,"Sigmodon fulviventer"
1988-05-14,1,"Sigmodon hispidus"
1988-05-14,0,"Sigmodon ochrognathus"
1988-06-11,0,"Baiomys taylori"
1988-06-11,21,"Dipodomys merriami"
1988-06-11,9,"Dipodomys ordii"
1988-06-11,4,"Dipodomys spectabilis"
1988-06-11,5,"Neotoma albigula"
1988-06-11,4,"Onychomys leucogaster"
1988-06-11,1,"Onychomys torridus"
1988-06-11,0,"Chaetodipus baileyi"
1988-06-11,5,"Peromyscus eremicus"
1988-06-11,0,"Perognathus flavus"
1988-06-11,0,"Chaetodipus hispidus"
1988-06-11,0,"Chaetodipus intermedius"
1988-06-11,0,"Peromyscus leucopus"
1988-06-11,0,"Peromyscus maniculatus"
1988-06-11,1,"Chaetodipus penicillatus"
1988-06-11,0,"Reithrodontomys fulvescens"
1988-06-11,0,"Reithrodontomys megalotis"
1988-06-11,0,"Reithrodontomys montanus"
1988-06-11,0,"Sigmodon fulviventer"
1988-06-11,1,"Sigmodon hispidus"
1988-06-11,0,"Sigmodon ochrognathus"
1988-07-14,0,"Baiomys taylori"
1988-07-14,18,"Dipodomys merriami"
1988-07-14,8,"Dipodomys ordii"
1988-07-14,4,"Dipodomys spectabilis"
1988-07-14,5,"Neotoma albigula"
1988-07-14,0,"Onychomys leucogaster"
1988-07-14,4,"Onychomys torridus"
1988-07-14,0,"Chaetodipus baileyi"
1988-07-14,1,"Peromyscus eremicus"
1988-07-14,0,"Perognathus flavus"
1988-07-14,0,"Chaetodipus hispidus"
1988-07-14,0,"Chaetodipus intermedius"
1988-07-14,0,"Peromyscus leucopus"
1988-07-14,0,"Peromyscus maniculatus"
1988-07-14,1,"Chaetodipus penicillatus"
1988-07-14,0,"Reithrodontomys fulvescens"
1988-07-14,1,"Reithrodontomys megalotis"
1988-07-14,0,"Reithrodontomys montanus"
1988-07-14,0,"Sigmodon fulviventer"
1988-07-14,1,"Sigmodon hispidus"
1988-07-14,0,"Sigmodon ochrognathus"
1988-08-09,0,"Baiomys taylori"
1988-08-09,19,"Dipodomys merriami"
1988-08-09,10,"Dipodomys ordii"
1988-08-09,4,"Dipodomys spectabilis"
1988-08-09,4,"Neotoma albigula"
1988-08-09,2,"Onychomys leucogaster"
1988-08-09,3,"Onychomys torridus"
1988-08-09,0,"Chaetodipus baileyi"
1988-08-09,6,"Peromyscus eremicus"
1988-08-09,0,"Perognathus flavus"
1988-08-09,0,"Chaetodipus hispidus"
1988-08-09,0,"Chaetodipus intermedius"
1988-08-09,0,"Peromyscus leucopus"
1988-08-09,0,"Peromyscus maniculatus"
1988-08-09,2,"Chaetodipus penicillatus"
1988-08-09,0,"Reithrodontomys fulvescens"
1988-08-09,1,"Reithrodontomys megalotis"
1988-08-09,0,"Reithrodontomys montanus"
1988-08-09,0,"Sigmodon fulviventer"
1988-08-09,0,"Sigmodon hispidus"
1988-08-09,0,"Sigmodon ochrognathus"
1988-09-11,0,"Baiomys taylori"
1988-09-11,15,"Dipodomys merriami"
1988-09-11,4,"Dipodomys ordii"
1988-09-11,2,"Dipodomys spectabilis"
1988-09-11,3,"Neotoma albigula"
1988-09-11,0,"Onychomys leucogaster"
1988-09-11,3,"Onychomys torridus"
1988-09-11,0,"Chaetodipus baileyi"
1988-09-11,1,"Peromyscus eremicus"
1988-09-11,0,"Perognathus flavus"
1988-09-11,0,"Chaetodipus hispidus"
1988-09-11,0,"Chaetodipus intermedius"
1988-09-11,0,"Peromyscus leucopus"
1988-09-11,0,"Peromyscus maniculatus"
1988-09-11,2,"Chaetodipus penicillatus"
1988-09-11,0,"Reithrodontomys fulvescens"
1988-09-11,0,"Reithrodontomys megalotis"
1988-09-11,0,"Reithrodontomys montanus"
1988-09-11,0,"Sigmodon fulviventer"
1988-09-11,1,"Sigmodon hispidus"
1988-09-11,0,"Sigmodon ochrognathus"
1988-10-08,0,"Baiomys taylori"
1988-10-08,24,"Dipodomys merriami"
1988-10-08,5,"Dipodomys ordii"
1988-10-08,3,"Dipodomys spectabilis"
1988-10-08,2,"Neotoma albigula"
1988-10-08,0,"Onychomys leucogaster"
1988-10-08,3,"Onychomys torridus"
1988-10-08,0,"Chaetodipus baileyi"
1988-10-08,1,"Peromyscus eremicus"
1988-10-08,0,"Perognathus flavus"
1988-10-08,0,"Chaetodipus hispidus"
1988-10-08,0,"Chaetodipus intermedius"
1988-10-08,0,"Peromyscus leucopus"
1988-10-08,0,"Peromyscus maniculatus"
1988-10-08,0,"Chaetodipus penicillatus"
1988-10-08,0,"Reithrodontomys fulvescens"
1988-10-08,0,"Reithrodontomys megalotis"
1988-10-08,0,"Reithrodontomys montanus"
1988-10-08,0,"Sigmodon fulviventer"
1988-10-08,0,"Sigmodon hispidus"
1988-10-08,0,"Sigmodon ochrognathus"
1988-11-05,0,"Baiomys taylori"
1988-11-05,21,"Dipodomys merriami"
1988-11-05,4,"Dipodomys ordii"
1988-11-05,4,"Dipodomys spectabilis"
1988-11-05,1,"Neotoma albigula"
1988-11-05,4,"Onychomys leucogaster"
1988-11-05,6,"Onychomys torridus"
1988-11-05,0,"Chaetodipus baileyi"
1988-11-05,7,"Peromyscus eremicus"
1988-11-05,0,"Perognathus flavus"
1988-11-05,1,"Chaetodipus hispidus"
1988-11-05,0,"Chaetodipus intermedius"
1988-11-05,0,"Peromyscus leucopus"
1988-11-05,0,"Peromyscus maniculatus"
1988-11-05,0,"Chaetodipus penicillatus"
1988-11-05,0,"Reithrodontomys fulvescens"
1988-11-05,2,"Reithrodontomys megalotis"
1988-11-05,0,"Reithrodontomys montanus"
1988-11-05,0,"Sigmodon fulviventer"
1988-11-05,2,"Sigmodon hispidus"
1988-11-05,0,"Sigmodon ochrognathus"
1988-12-13,0,"Baiomys taylori"
1988-12-13,22,"Dipodomys merriami"
1988-12-13,6,"Dipodomys ordii"
1988-12-13,4,"Dipodomys spectabilis"
1988-12-13,2,"Neotoma albigula"
1988-12-13,3,"Onychomys leucogaster"
1988-12-13,2,"Onychomys torridus"
1988-12-13,0,"Chaetodipus baileyi"
1988-12-13,5,"Peromyscus eremicus"
1988-12-13,0,"Perognathus flavus"
1988-12-13,0,"Chaetodipus hispidus"
1988-12-13,0,"Chaetodipus intermedius"
1988-12-13,0,"Peromyscus leucopus"
1988-12-13,0,"Peromyscus maniculatus"
1988-12-13,0,"Chaetodipus penicillatus"
1988-12-13,2,"Reithrodontomys fulvescens"
1988-12-13,10,"Reithrodontomys megalotis"
1988-12-13,0,"Reithrodontomys montanus"
1988-12-13,0,"Sigmodon fulviventer"
1988-12-13,1,"Sigmodon hispidus"
1988-12-13,0,"Sigmodon ochrognathus"
1989-01-10,0,"Baiomys taylori"
1989-01-10,22,"Dipodomys merriami"
1989-01-10,3,"Dipodomys ordii"
1989-01-10,3,"Dipodomys spectabilis"
1989-01-10,2,"Neotoma albigula"
1989-01-10,5,"Onychomys leucogaster"
1989-01-10,4,"Onychomys torridus"
1989-01-10,0,"Chaetodipus baileyi"
1989-01-10,7,"Peromyscus eremicus"
1989-01-10,0,"Perognathus flavus"
1989-01-10,0,"Chaetodipus hispidus"
1989-01-10,0,"Chaetodipus intermedius"
1989-01-10,0,"Peromyscus leucopus"
1989-01-10,0,"Peromyscus maniculatus"
1989-01-10,0,"Chaetodipus penicillatus"
1989-01-10,1,"Reithrodontomys fulvescens"
1989-01-10,9,"Reithrodontomys megalotis"
1989-01-10,0,"Reithrodontomys montanus"
1989-01-10,0,"Sigmodon fulviventer"
1989-01-10,3,"Sigmodon hispidus"
1989-01-10,0,"Sigmodon ochrognathus"
1989-02-04,0,"Baiomys taylori"
1989-02-04,22,"Dipodomys merriami"
1989-02-04,8,"Dipodomys ordii"
1989-02-04,3,"Dipodomys spectabilis"
1989-02-04,1,"Neotoma albigula"
1989-02-04,7,"Onychomys leucogaster"
1989-02-04,3,"Onychomys torridus"
1989-02-04,0,"Chaetodipus baileyi"
1989-02-04,8,"Peromyscus eremicus"
1989-02-04,0,"Perognathus flavus"
1989-02-04,0,"Chaetodipus hispidus"
1989-02-04,0,"Chaetodipus intermedius"
1989-02-04,0,"Peromyscus leucopus"
1989-02-04,0,"Peromyscus maniculatus"
1989-02-04,0,"Chaetodipus penicillatus"
1989-02-04,1,"Reithrodontomys fulvescens"
1989-02-04,16,"Reithrodontomys megalotis"
1989-02-04,0,"Reithrodontomys montanus"
1989-02-04,0,"Sigmodon fulviventer"
1989-02-04,2,"Sigmodon hispidus"
1989-02-04,0,"Sigmodon ochrognathus"
1989-03-12,0,"Baiomys taylori"
1989-03-12,16,"Dipodomys merriami"
1989-03-12,4,"Dipodomys ordii"
1989-03-12,5,"Dipodomys spectabilis"
1989-03-12,4,"Neotoma albigula"
1989-03-12,5,"Onychomys leucogaster"
1989-03-12,0,"Onychomys torridus"
1989-03-12,0,"Chaetodipus baileyi"
1989-03-12,5,"Peromyscus eremicus"
1989-03-12,0,"Perognathus flavus"
1989-03-12,0,"Chaetodipus hispidus"
1989-03-12,0,"Chaetodipus intermedius"
1989-03-12,0,"Peromyscus leucopus"
1989-03-12,2,"Peromyscus maniculatus"
1989-03-12,0,"Chaetodipus penicillatus"
1989-03-12,0,"Reithrodontomys fulvescens"
1989-03-12,14,"Reithrodontomys megalotis"
1989-03-12,0,"Reithrodontomys montanus"
1989-03-12,0,"Sigmodon fulviventer"
1989-03-12,3,"Sigmodon hispidus"
1989-03-12,0,"Sigmodon ochrognathus"
1989-04-01,0,"Baiomys taylori"
1989-04-01,18,"Dipodomys merriami"
1989-04-01,4,"Dipodomys ordii"
1989-04-01,4,"Dipodomys spectabilis"
1989-04-01,3,"Neotoma albigula"
1989-04-01,3,"Onychomys leucogaster"
1989-04-01,1,"Onychomys torridus"
1989-04-01,0,"Chaetodipus baileyi"
1989-04-01,3,"Peromyscus eremicus"
1989-04-01,0,"Perognathus flavus"
1989-04-01,0,"Chaetodipus hispidus"
1989-04-01,0,"Chaetodipus intermedius"
1989-04-01,0,"Peromyscus leucopus"
1989-04-01,0,"Peromyscus maniculatus"
1989-04-01,1,"Chaetodipus penicillatus"
1989-04-01,1,"Reithrodontomys fulvescens"
1989-04-01,8,"Reithrodontomys megalotis"
1989-04-01,0,"Reithrodontomys montanus"
1989-04-01,0,"Sigmodon fulviventer"
1989-04-01,2,"Sigmodon hispidus"
1989-04-01,0,"Sigmodon ochrognathus"
1989-05-09,0,"Baiomys taylori"
1989-05-09,22,"Dipodomys merriami"
1989-05-09,5,"Dipodomys ordii"
1989-05-09,3,"Dipodomys spectabilis"
1989-05-09,4,"Neotoma albigula"
1989-05-09,2,"Onychomys leucogaster"
1989-05-09,1,"Onychomys torridus"
1989-05-09,0,"Chaetodipus baileyi"
1989-05-09,1,"Peromyscus eremicus"
1989-05-09,0,"Perognathus flavus"
1989-05-09,0,"Chaetodipus hispidus"
1989-05-09,0,"Chaetodipus intermedius"
1989-05-09,0,"Peromyscus leucopus"
1989-05-09,0,"Peromyscus maniculatus"
1989-05-09,0,"Chaetodipus penicillatus"
1989-05-09,0,"Reithrodontomys fulvescens"
1989-05-09,3,"Reithrodontomys megalotis"
1989-05-09,0,"Reithrodontomys montanus"
1989-05-09,0,"Sigmodon fulviventer"
1989-05-09,2,"Sigmodon hispidus"
1989-05-09,0,"Sigmodon ochrognathus"
1989-06-03,0,"Baiomys taylori"
1989-06-03,21,"Dipodomys merriami"
1989-06-03,4,"Dipodomys ordii"
1989-06-03,3,"Dipodomys spectabilis"
1989-06-03,3,"Neotoma albigula"
1989-06-03,0,"Onychomys leucogaster"
1989-06-03,0,"Onychomys torridus"
1989-06-03,0,"Chaetodipus baileyi"
1989-06-03,3,"Peromyscus eremicus"
1989-06-03,0,"Perognathus flavus"
1989-06-03,0,"Chaetodipus hispidus"
1989-06-03,0,"Chaetodipus intermedius"
1989-06-03,0,"Peromyscus leucopus"
1989-06-03,0,"Peromyscus maniculatus"
1989-06-03,0,"Chaetodipus penicillatus"
1989-06-03,1,"Reithrodontomys fulvescens"
1989-06-03,5,"Reithrodontomys megalotis"
1989-06-03,0,"Reithrodontomys montanus"
1989-06-03,0,"Sigmodon fulviventer"
1989-06-03,1,"Sigmodon hispidus"
1989-06-03,0,"Sigmodon ochrognathus"
1989-07-03,0,"Baiomys taylori"
1989-07-03,17,"Dipodomys merriami"
1989-07-03,4,"Dipodomys ordii"
1989-07-03,3,"Dipodomys spectabilis"
1989-07-03,4,"Neotoma albigula"
1989-07-03,1,"Onychomys leucogaster"
1989-07-03,2,"Onychomys torridus"
1989-07-03,0,"Chaetodipus baileyi"
1989-07-03,1,"Peromyscus eremicus"
1989-07-03,0,"Perognathus flavus"
1989-07-03,0,"Chaetodipus hispidus"
1989-07-03,0,"Chaetodipus intermedius"
1989-07-03,0,"Peromyscus leucopus"
1989-07-03,0,"Peromyscus maniculatus"
1989-07-03,1,"Chaetodipus penicillatus"
1989-07-03,2,"Reithrodontomys fulvescens"
1989-07-03,2,"Reithrodontomys megalotis"
1989-07-03,0,"Reithrodontomys montanus"
1989-07-03,0,"Sigmodon fulviventer"
1989-07-03,2,"Sigmodon hispidus"
1989-07-03,0,"Sigmodon ochrognathus"
1989-07-29,0,"Baiomys taylori"
1989-07-29,24,"Dipodomys merriami"
1989-07-29,6,"Dipodomys ordii"
1989-07-29,2,"Dipodomys spectabilis"
1989-07-29,2,"Neotoma albigula"
1989-07-29,0,"Onychomys leucogaster"
1989-07-29,5,"Onychomys torridus"
1989-07-29,0,"Chaetodipus baileyi"
1989-07-29,2,"Peromyscus eremicus"
1989-07-29,0,"Perognathus flavus"
1989-07-29,0,"Chaetodipus hispidus"
1989-07-29,0,"Chaetodipus intermedius"
1989-07-29,0,"Peromyscus leucopus"
1989-07-29,0,"Peromyscus maniculatus"
1989-07-29,1,"Chaetodipus penicillatus"
1989-07-29,1,"Reithrodontomys fulvescens"
1989-07-29,2,"Reithrodontomys megalotis"
1989-07-29,0,"Reithrodontomys montanus"
1989-07-29,0,"Sigmodon fulviventer"
1989-07-29,0,"Sigmodon hispidus"
1989-07-29,0,"Sigmodon ochrognathus"
1989-09-03,0,"Baiomys taylori"
1989-09-03,16,"Dipodomys merriami"
1989-09-03,8,"Dipodomys ordii"
1989-09-03,1,"Dipodomys spectabilis"
1989-09-03,1,"Neotoma albigula"
1989-09-03,1,"Onychomys leucogaster"
1989-09-03,4,"Onychomys torridus"
1989-09-03,0,"Chaetodipus baileyi"
1989-09-03,1,"Peromyscus eremicus"
1989-09-03,0,"Perognathus flavus"
1989-09-03,0,"Chaetodipus hispidus"
1989-09-03,0,"Chaetodipus intermedius"
1989-09-03,0,"Peromyscus leucopus"
1989-09-03,0,"Peromyscus maniculatus"
1989-09-03,2,"Chaetodipus penicillatus"
1989-09-03,0,"Reithrodontomys fulvescens"
1989-09-03,0,"Reithrodontomys megalotis"
1989-09-03,0,"Reithrodontomys montanus"
1989-09-03,0,"Sigmodon fulviventer"
1989-09-03,0,"Sigmodon hispidus"
1989-09-03,0,"Sigmodon ochrognathus"
1989-10-07,0,"Baiomys taylori"
1989-10-07,22,"Dipodomys merriami"
1989-10-07,7,"Dipodomys ordii"
1989-10-07,2,"Dipodomys spectabilis"
1989-10-07,2,"Neotoma albigula"
1989-10-07,1,"Onychomys leucogaster"
1989-10-07,4,"Onychomys torridus"
1989-10-07,0,"Chaetodipus baileyi"
1989-10-07,5,"Peromyscus eremicus"
1989-10-07,1,"Perognathus flavus"
1989-10-07,0,"Chaetodipus hispidus"
1989-10-07,0,"Chaetodipus intermedius"
1989-10-07,0,"Peromyscus leucopus"
1989-10-07,0,"Peromyscus maniculatus"
1989-10-07,1,"Chaetodipus penicillatus"
1989-10-07,0,"Reithrodontomys fulvescens"
1989-10-07,1,"Reithrodontomys megalotis"
1989-10-07,0,"Reithrodontomys montanus"
1989-10-07,0,"Sigmodon fulviventer"
1989-10-07,2,"Sigmodon hispidus"
1989-10-07,0,"Sigmodon ochrognathus"
1989-11-04,0,"Baiomys taylori"
1989-11-04,20,"Dipodomys merriami"
1989-11-04,10,"Dipodomys ordii"
1989-11-04,2,"Dipodomys spectabilis"
1989-11-04,2,"Neotoma albigula"
1989-11-04,5,"Onychomys leucogaster"
1989-11-04,7,"Onychomys torridus"
1989-11-04,0,"Chaetodipus baileyi"
1989-11-04,5,"Peromyscus eremicus"
1989-11-04,1,"Perognathus flavus"
1989-11-04,1,"Chaetodipus hispidus"
1989-11-04,0,"Chaetodipus intermedius"
1989-11-04,0,"Peromyscus leucopus"
1989-11-04,0,"Peromyscus maniculatus"
1989-11-04,2,"Chaetodipus penicillatus"
1989-11-04,1,"Reithrodontomys fulvescens"
1989-11-04,4,"Reithrodontomys megalotis"
1989-11-04,0,"Reithrodontomys montanus"
1989-11-04,1,"Sigmodon fulviventer"
1989-11-04,1,"Sigmodon hispidus"
1989-11-04,0,"Sigmodon ochrognathus"
1989-12-04,0,"Baiomys taylori"
1989-12-04,25,"Dipodomys merriami"
1989-12-04,13,"Dipodomys ordii"
1989-12-04,2,"Dipodomys spectabilis"
1989-12-04,1,"Neotoma albigula"
1989-12-04,0,"Onychomys leucogaster"
1989-12-04,3,"Onychomys torridus"
1989-12-04,0,"Chaetodipus baileyi"
1989-12-04,5,"Peromyscus eremicus"
1989-12-04,0,"Perognathus flavus"
1989-12-04,1,"Chaetodipus hispidus"
1989-12-04,0,"Chaetodipus intermedius"
1989-12-04,0,"Peromyscus leucopus"
1989-12-04,0,"Peromyscus maniculatus"
1989-12-04,0,"Chaetodipus penicillatus"
1989-12-04,1,"Reithrodontomys fulvescens"
1989-12-04,12,"Reithrodontomys megalotis"
1989-12-04,0,"Reithrodontomys montanus"
1989-12-04,2,"Sigmodon fulviventer"
1989-12-04,0,"Sigmodon hispidus"
1989-12-04,0,"Sigmodon ochrognathus"
1990-01-06,0,"Baiomys taylori"
1990-01-06,21,"Dipodomys merriami"
1990-01-06,12,"Dipodomys ordii"
1990-01-06,2,"Dipodomys spectabilis"
1990-01-06,1,"Neotoma albigula"
1990-01-06,0,"Onychomys leucogaster"
1990-01-06,4,"Onychomys torridus"
1990-01-06,0,"Chaetodipus baileyi"
1990-01-06,2,"Peromyscus eremicus"
1990-01-06,0,"Perognathus flavus"
1990-01-06,0,"Chaetodipus hispidus"
1990-01-06,0,"Chaetodipus intermedius"
1990-01-06,0,"Peromyscus leucopus"
1990-01-06,0,"Peromyscus maniculatus"
1990-01-06,0,"Chaetodipus penicillatus"
1990-01-06,0,"Reithrodontomys fulvescens"
1990-01-06,3,"Reithrodontomys megalotis"
1990-01-06,0,"Reithrodontomys montanus"
1990-01-06,3,"Sigmodon fulviventer"
1990-01-06,0,"Sigmodon hispidus"
1990-01-06,0,"Sigmodon ochrognathus"
1990-01-29,0,"Baiomys taylori"
1990-01-29,25,"Dipodomys merriami"
1990-01-29,10,"Dipodomys ordii"
1990-01-29,1,"Dipodomys spectabilis"
1990-01-29,1,"Neotoma albigula"
1990-01-29,0,"Onychomys leucogaster"
1990-01-29,2,"Onychomys torridus"
1990-01-29,0,"Chaetodipus baileyi"
1990-01-29,1,"Peromyscus eremicus"
1990-01-29,0,"Perognathus flavus"
1990-01-29,1,"Chaetodipus hispidus"
1990-01-29,0,"Chaetodipus intermedius"
1990-01-29,0,"Peromyscus leucopus"
1990-01-29,0,"Peromyscus maniculatus"
1990-01-29,0,"Chaetodipus penicillatus"
1990-01-29,0,"Reithrodontomys fulvescens"
1990-01-29,3,"Reithrodontomys megalotis"
1990-01-29,0,"Reithrodontomys montanus"
1990-01-29,1,"Sigmodon fulviventer"
1990-01-29,0,"Sigmodon hispidus"
1990-01-29,0,"Sigmodon ochrognathus"
1990-02-24,0,"Baiomys taylori"
1990-02-24,27,"Dipodomys merriami"
1990-02-24,13,"Dipodomys ordii"
1990-02-24,1,"Dipodomys spectabilis"
1990-02-24,3,"Neotoma albigula"
1990-02-24,1,"Onychomys leucogaster"
1990-02-24,2,"Onychomys torridus"
1990-02-24,0,"Chaetodipus baileyi"
1990-02-24,1,"Peromyscus eremicus"
1990-02-24,0,"Perognathus flavus"
1990-02-24,1,"Chaetodipus hispidus"
1990-02-24,0,"Chaetodipus intermedius"
1990-02-24,0,"Peromyscus leucopus"
1990-02-24,0,"Peromyscus maniculatus"
1990-02-24,0,"Chaetodipus penicillatus"
1990-02-24,0,"Reithrodontomys fulvescens"
1990-02-24,5,"Reithrodontomys megalotis"
1990-02-24,0,"Reithrodontomys montanus"
1990-02-24,3,"Sigmodon fulviventer"
1990-02-24,0,"Sigmodon hispidus"
1990-02-24,0,"Sigmodon ochrognathus"
1990-03-29,0,"Baiomys taylori"
1990-03-29,30,"Dipodomys merriami"
1990-03-29,14,"Dipodomys ordii"
1990-03-29,2,"Dipodomys spectabilis"
1990-03-29,1,"Neotoma albigula"
1990-03-29,1,"Onychomys leucogaster"
1990-03-29,3,"Onychomys torridus"
1990-03-29,0,"Chaetodipus baileyi"
1990-03-29,2,"Peromyscus eremicus"
1990-03-29,0,"Perognathus flavus"
1990-03-29,1,"Chaetodipus hispidus"
1990-03-29,0,"Chaetodipus intermedius"
1990-03-29,0,"Peromyscus leucopus"
1990-03-29,0,"Peromyscus maniculatus"
1990-03-29,0,"Chaetodipus penicillatus"
1990-03-29,0,"Reithrodontomys fulvescens"
1990-03-29,6,"Reithrodontomys megalotis"
1990-03-29,0,"Reithrodontomys montanus"
1990-03-29,2,"Sigmodon fulviventer"
1990-03-29,1,"Sigmodon hispidus"
1990-03-29,0,"Sigmodon ochrognathus"
1990-04-24,0,"Baiomys taylori"
